rollout/n_episodes,reward/success_reward,rollout/workspace_violation_rate,train/actor_loss,reward/detour_penalty,rollout/all_expected_path_length_mean,reward/workspace_penalty,rollout/collision_rate,rollout/all_actual_path_length_mean,reward/action_norm_penalty,time/time_elapsed,train/critic_loss,reward/smoothness_penalty,time/total_timesteps,train/learning_rate,reward/distance_penalty,rollout/success_rate,reward/path_efficiency_bonus,reward/path_length_penalty,reward/backtrack_penalty,train/n_updates,reward/progress_reward,reward/direction_penalty,time/fps,time/episodes,rollout/ep_len_mean,rollout/reward_steps,rollout/max_steps_rate,rollout/action_norm_mean,reward/step_penalty,reward/collision_penalty,rollout/ep_rew_mean,rollout/distance_improvement_mean,rollout/success_expected_path_length_mean,rollout/success_actual_path_length_mean,rollout/success_path_efficiency_percent_mean
8205,3.0513036164844407,0.0006093845216331506,-52.23381042480469,0.0,0.3280623604922052,-0.0018689842070834502,0.0,0.3668363075274735,0.0,5690,0.36688488721847534,0.0,3211452,0.0003,-1.7678675649526139,1.0,0.0,0.0,0.0,266787,0.0,0.0,564,99050,29.79,3477825,0.0045094454600853135,1.1250881067117622,0.0,0.0,47.80612749,0.3086589266359281,0.3279332593503235,0.36158731492492796,91.75107267451645
8215,3.052576930690481,0.0006086427267194157,-49.037986755371094,0.0,0.3279533165925915,-0.00186747640443563,0.0,0.36671000448701874,0.0,5693,0.35046666860580444,0.0,3212892,0.0003,-1.7677879409544857,1.0,0.0,0.0,0.0,266907,0.0,0.0,564,99100,28.76,3480633,0.004503956177723676,1.12516302738111,0.0,0.0,51.59384419999999,0.3085511299436223,0.3278238130486097,0.36146678518660535,91.75338272172395
,,,-50.32622528076172,,,,,,,5697,0.27938148379325867,,3214452,0.0003,,1.0,,,,267037,,,564,99150,29.92,,,,,,48.25685715,,,,
8220,3.052699948487088,0.0006082725060827251,-49.4290771484375,0.0,0.327963360398328,-0.0018664098486714895,0.0,0.3667186582022937,0.0,5700,0.324782133102417,0.0,3215904,0.0003,-1.767847247605346,1.0,0.0,0.0,0.0,267158,0.0,0.0,564,99200,29.97,3482622,0.004501216545012165,1.1252314067255607,0.0,0.0,48.25718327,0.30856115973617293,0.32783398761462507,0.36147868903058467,91.75323002914335
8225,3.053027844001955,0.0006079027355623101,-45.57561492919922,0.0,0.3279400540215719,-0.0018654697812550134,0.0,0.36668594166153645,0.0,5703,0.2751730680465698,0.0,3217416,0.0003,-1.7677890918388468,1.0,0.0,0.0,0.0,267284,0.0,0.0,564,99250,29.54,3484377,0.004498480243161095,1.125248359139304,0.0,0.0,50.72002822,0.3085392283763111,0.32781064066547433,0.36144900631008237,91.7536100696914
8230,3.053298479690046,0.0006075334143377885,-52.28771209716797,0.0,0.3279280191694781,-0.0018644958962445324,0.0,0.36667183496985456,0.0,5706,0.3858073353767395,0.0,3218856,0.0003,-1.767660574126863,1.0,0.0,0.0,0.0,267404,0.0,0.0,564,99300,29.0,3486197,0.004495747266099636,1.12530130484078,0.0,0.0,53.50776608,0.3085280771097856,0.3277986231073464,0.3614380251918869,91.7523620318009
8235,3.0537964657514842,0.0006071645415907711,-49.535396575927734,0.0,0.32791500160697923,-0.0018636619466321765,0.0,0.36664147466995184,0.0,5709,0.3946162462234497,0.0,3220332,0.0003,-1.7676386363103138,1.0,0.0,0.0,0.0,267527,0.0,0.0,564,99350,28.45,3487757,0.004493017607771706,1.125388144244095,0.0,0.0,54.17420373000001,0.3085132424296592,0.3277856177800099,0.36141070332922254,91.75522713515115
8240,3.0537934014520234,0.0006067961165048543,-49.60639953613281,0.0,0.32792464826748824,-0.001862523421232022,0.0,0.3666479069295235,0.0,5712,0.39842134714126587,0.0,3221784,0.0003,-1.7677286832807468,1.0,0.0,0.0,0.0,267648,0.0,0.0,564,99400,29.8,3489889,0.004490291262135922,1.1254032577593795,0.0,0.0,49.683092989999984,0.30852403063560896,0.3277953927741218,0.3614203588153867,91.75445322602805
,,,-52.42570495605469,,,,,,,5714,0.3221323788166046,,3223284,0.0003,,1.0,,,,267773,,,564,99450,29.88,,,,,,49.06993212,,,,
8245,3.0535288862418106,0.0006064281382656155,-45.73091506958008,0.0,0.3279605171768014,-0.0018612269207861822,0.0,0.3666873689037586,0.0,5718,0.4838928282260895,0.0,3224832,0.0003,-1.76783198298906,1.0,0.0,0.0,0.0,267902,0.0,0.0,563,99500,29.9,3492320,0.0044875682231655546,1.1254233960309779,0.0,0.0,46.656348900000005,0.3085614300573772,0.3278315241205504,0.36146320920160385,91.75306958096094
8250,3.0534578326699156,0.0006060606060606061,-52.83485794067383,0.0,0.3279863432160381,-0.0018600498493359621,0.0,0.3667106047278732,0.0,5720,0.32516247034072876,0.0,3226284,0.0003,-1.7679775921714915,1.0,0.0,0.0,0.0,268023,0.0,0.0,563,99550,30.53,3494530,0.004484848484848485,1.1254650286540062,0.0,0.0,47.142631699999995,0.3085877972306952,0.32785756088821416,0.36148974628097236,91.753890934884
8255,3.0534549807788114,0.0006056935190793458,-48.889183044433594,0.0,0.32800200376512967,-0.0018589157316320536,0.0,0.3667337907986305,0.0,5723,0.3717881441116333,0.0,3227856,0.0003,-1.768105879064864,1.0,0.0,0.0,0.0,268154,0.0,0.0,563,99600,30.76,3496662,0.004482132041187159,1.1255316490078728,0.0,0.0,47.81527200999999,0.30860305206777827,0.32787337992442384,0.361516229333004,91.75156325879263
,,,-50.28443145751953,,,,,,,5726,0.3702147603034973,,3229296,0.0003,,1.0,,,,268274,,,563,99650,30.01,,,,,,48.98780632,,,,
8260,3.05330465054932,0.0006053268765133172,-51.59344482421875,0.0,0.3280313580959909,-0.0018576932651188367,0.0,0.36676702758844837,0.0,5728,0.3058032989501953,0.0,3230820,0.0003,-1.7682417902104404,1.0,0.0,0.0,0.0,268401,0.0,0.0,563,99700,30.04,3498963,0.0044794188861985475,1.1255747526397555,0.0,0.0,49.30530280999999,0.3086318585184134,0.3279029625348056,0.3615528104587309,91.75009472083636
8265,3.053279221140886,0.0006049606775559589,-51.30887985229492,0.0,0.3280548886305281,-0.0018565482312665,0.0,0.36678001896008455,0.0,5731,0.3066089153289795,0.0,3232236,0.0003,-1.7684472552497903,1.0,0.0,0.0,0.0,268519,0.0,0.0,563,99750,28.7,3501121,0.004476709013914095,1.1256017671910985,0.0,0.0,54.32339679999999,0.3086562282370228,0.3279266913254849,0.36156903869322216,91.75240127825894
8270,3.053491772494823,0.0006045949214026602,-48.72409439086914,0.0,0.32805511876512794,-0.0018555492054538301,0.0,0.36677689035331423,0.0,5734,0.34050068259239197,0.0,3233616,0.0003,-1.7684144893229297,1.0,0.0,0.0,0.0,268634,0.0,0.0,563,99800,26.65,3503006,0.004474002418379685,1.1256670468950025,0.0,0.0,60.198925829999986,0.30865742930442974,0.3279270005378896,0.36156906073057554,91.7514047599731
8275,3.054100574243616,0.0006042296072507553,-47.04640579223633,0.0,0.32802037876380713,-0.001854792040716395,0.0,0.36673119225574263,0.0,5738,0.30704349279403687,0.0,3235032,0.0003,-1.7682167510541222,1.0,0.0,0.0,0.0,268752,0.0,0.0,563,99850,28.73,3504436,0.004471299093655589,1.1257477299671665,0.0,0.0,53.50033435999999,0.30862184430837625,0.3278921611209342,0.3615262922853804,91.75273910286926
8280,3.054346455875483,0.0006038647342995169,-50.08504867553711,0.0,0.3280052216176915,-0.0018538155231096643,0.0,0.36671552661335727,0.0,5741,0.2994973063468933,0.0,3236568,0.0003,-1.7680862357418534,1.0,0.0,0.0,0.0,268880,0.0,0.0,563,99900,30.12,3506282,0.0044685990338164255,1.1257868019842994,0.0,0.0,50.19301305,0.30860699402116515,0.3278770045196205,0.3615137058543172,91.7516041141556
,,,-50.254268646240234,,,,,,,5744,0.3326413035392761,,3238080,0.0003,,1.0,,,,269006,,,563,99950,30.34,,,,,,48.40216120000001,,,,
8285,3.0545807594392587,0.0006035003017501509,-50.610321044921875,0.0,0.32800757975649714,-0.0018528331671959592,0.0,0.36671395942957263,0.0,5747,0.3745366334915161,0.0,3239604,0.0003,-1.7681309662678772,1.0,0.0,0.0,0.0,269133,0.0,0.0,563,100000,30.78,3508141,0.004465902232951117,1.1258648872037007,0.0,0.0,44.96495073,0.3086104752109965,0.3278794524470128,0.3615152859812297,91.75232803189203
8290,3.0546337994785495,0.0006031363088057901,-51.24122619628906,0.0,0.3280235249061582,-0.0018517421189855417,0.0,0.3667305974120541,0.0,5750,0.3034130334854126,0.0,3241068,0.0003,-1.7682539861723492,1.0,0.0,0.0,0.0,269255,0.0,0.0,563,100050,29.97,3510208,0.004463208685162847,1.1259320586063195,0.0,0.0,48.81710671999999,0.3086259167669136,0.32789555646340923,0.3615351601618811,91.75192454340595
8295,3.0549920784162756,0.0006027727546714888,-50.12736511230469,0.0,0.3280032370666142,-0.0018508373188030264,0.0,0.36669806989925474,0.0,5752,0.32096797227859497,0.0,3242688,0.0003,-1.768137100170514,1.0,0.0,0.0,0.0,269390,0.0,0.0,563,100100,30.34,3511924,0.004460518384569017,1.1259607861842464,0.0,0.0,49.071909049999995,0.3086053401492174,0.3278752429063022,0.3615056147199303,91.75371935494492
,,,-51.506874084472656,,,,,,,5756,0.26579615473747253,,3244200,0.0003,,1.0,,,,269516,,,563,100150,30.5,,,,,,47.66715635,,,,
8300,3.0545476066298995,0.0006024096385542169,-50.840240478515625,0.0,0.32806792634460763,-0.0018494475700108377,0.0,0.3667657323132661,0.0,5758,0.34113916754722595,0.0,3245640,0.0003,-1.7686643106908637,1.0,0.0,0.0,0.0,269636,0.0,0.0,563,100200,29.09,3514563,0.004457831325301205,1.1260012476714556,0.0,0.0,51.04403702,0.3086696875674849,0.3279403386895605,0.3615767651573475,91.75444728640552
8305,3.054555401938532,0.0006020469596628537,-45.87190628051758,0.0,0.32808641910144787,-0.0018483331731444584,0.0,0.3667862160019598,0.0,5761,0.31428802013397217,0.0,3247188,0.0003,-1.7686405912314729,1.0,0.0,0.0,0.0,269765,0.0,0.0,563,100250,30.63,3516682,0.004455147501505117,1.1260635600452462,0.0,0.0,47.445852089999995,0.3086887320989369,0.32795900264742495,0.361600492843464,91.75306442217159
8310,3.054992074313015,0.0006016847172081829,-49.160438537597656,0.0,0.3280627427533018,-0.0018474794837403331,0.0,0.3667521786062779,0.0,5764,0.33542007207870483,0.0,3248676,0.0003,-1.7686122040009653,1.0,0.0,0.0,0.0,269889,0.0,0.0,563,100300,31.29,3518307,0.004452466907340554,1.1261165830410407,0.0,0.0,45.80360239000001,0.3086653471744278,0.3279352830815294,0.3615694185640344,91.75446359918197
8315,3.054819103604635,0.0006013229104028864,-49.57151412963867,0.0,0.3281164832599125,-0.0018462583727817206,0.0,0.3668034615140011,0.0,5766,0.3630968928337097,0.0,3250248,0.0003,-1.7691019308359661,1.0,0.0,0.0,0.0,270020,0.0,0.0,563,100350,30.41,3520634,0.004449789536981359,1.1262068390906457,0.0,0.0,45.99281623000001,0.30871947835557534,0.3279893734490898,0.3616240941566767,91.75543443150033
8320,3.0553228241251658,0.0006009615384615385,-50.18794631958008,0.0,0.32808684621279377,-0.0018454474656469954,0.0,0.36675906448322343,0.0,5769,0.3161393105983734,0.0,3251592,0.0003,-1.7689115608961947,1.0,0.0,0.0,0.0,270132,0.0,0.0,563,100400,29.11,3522181,0.004447115384615384,1.126252771505724,0.0,0.0,49.87746241000001,0.30868995646849445,0.3279596628084793,0.36158260026210265,91.75776467870956
8325,3.0560628701090264,0.0006006006006006006,-47.05239486694336,0.0,0.32801228793421844,-0.0018447801944398326,0.0,0.36667213307513036,0.0,5772,0.3589293360710144,0.0,3253224,0.0003,-1.7688003100090655,1.0,0.0,0.0,0.0,270268,0.0,0.0,563,100450,30.28,3523455,0.0044444444444444444,1.126255119416375,0.0,0.0,47.58532344,0.3086169756378478,0.3278848032464706,0.3614983528093356,91.75968765007066
,,,-52.24164581298828,,,,,,,5776,0.32271748781204224,,3254652,0.0003,,1.0,,,,270387,,,563,100500,30.32,,,,,,47.85278574,,,,
8330,3.055585254441622,0.0006002400960384153,-50.58169937133789,0.0,0.3280694128699502,-0.001843379135160245,0.0,0.36673976943478886,0.0,5779,0.32994306087493896,0.0,3256068,0.0003,-1.7691512729056702,1.0,0.0,0.0,0.0,270505,0.0,0.0,563,100550,28.37,3526133,0.004441776710684273,1.1262833917071113,0.0,0.0,54.1032251,0.30867460191371854,0.3279422945758727,0.3615694531685639,91.75758911200313
8335,3.055761287303465,0.0005998800239952009,-51.80300521850586,0.0,0.3280702465589828,-0.0018423738618735467,0.0,0.3667364709567396,0.0,5782,0.30931711196899414,0.0,3257640,0.0003,-1.7691728021840556,1.0,0.0,0.0,0.0,270636,0.0,0.0,563,100600,30.1,3528057,0.004439112177564487,1.1263347226910132,0.0,0.0,49.54095712999999,0.3086761849761765,0.32794320912905695,0.36156925526271455,91.75796554003027
8340,3.0554420228219206,0.0005995203836930455,-51.83366775512695,0.0,0.32811875107544036,-0.0018410713562436252,0.0,0.36678616087580634,0.0,5785,0.42616522312164307,0.0,3259080,0.0003,-1.7693246946898502,1.0,0.0,0.0,0.0,270756,0.0,0.0,563,100650,30.1,3530553,0.004436450839328537,1.126366217402743,0.0,0.0,48.57867626,0.30872647892447147,0.3279920356962305,0.36162231021613545,91.75793366081706
,,,-52.347572326660156,,,,,,,5788,0.43703141808509827,,3260664,0.0003,,1.0,,,,270888,,,563,100700,29.75,,,,,,47.79061266000001,,,,
8345,3.0555504443667543,0.0005991611743559018,-53.41873550415039,0.0,0.32813640197994576,-0.00184002796842512,0.0,0.3668007524509815,0.0,5791,0.38377249240875244,0.0,3262032,0.0003,-1.7694824376872964,1.0,0.0,0.0,0.0,271002,0.0,0.0,563,100750,29.5,3532555,0.004433792690233673,1.1264475810703838,0.0,0.0,49.27204571999999,0.30874370676761775,0.3280098521932789,0.3616400852309656,91.7576859773829
8350,3.0558835321423183,0.0005988023952095808,-54.257843017578125,0.0,0.3281072827841261,-0.0018391210472690892,0.0,0.3667661247737437,0.0,5794,0.2931472659111023,0.0,3263556,0.0003,-1.7693410773550118,1.0,0.0,0.0,0.0,271129,0.0,0.0,563,100800,29.72,3534297,0.004431137724550898,1.1264606104816612,0.0,0.0,50.52606404,0.3087159981066013,0.3279806619506019,0.36160838834015735,91.7573003853701
8355,3.0558792499439407,0.0005984440454817474,-47.0889778137207,0.0,0.32812163162840513,-0.0018380122999783115,0.0,0.3667789706572252,0.0,5798,0.33623507618904114,0.0,3265272,0.0003,-1.7695235981511017,1.0,0.0,0.0,0.0,271272,0.0,0.0,563,100850,32.12,3536429,0.004428485936564931,1.1264950778502976,0.0,0.0,43.498101930000004,0.3087309943337424,0.32799515944827046,0.3616244013365071,91.75795060112455
8360,3.0558188404199824,0.0005980861244019139,-45.09328079223633,0.0,0.3281315934846543,-0.0018368711471627689,0.0,0.36679278913210916,0.0,5801,0.28759273886680603,0.0,3266772,0.0003,-1.7695840372997036,1.0,0.0,0.0,0.0,271397,0.0,0.0,563,100900,31.97,3538626,0.004425837320574163,1.1265118450544873,0.0,0.0,41.48726460000002,0.30874163337853544,0.32800524762801847,0.36164138802761475,91.75734285799435
8365,3.0559604630754937,0.0005977286312014345,-52.46860885620117,0.0,0.3281182303078343,-0.0018358527352369902,0.0,0.3667775128678987,0.0,5805,0.4011165499687195,0.0,3268428,0.0003,-1.7697878405942475,1.0,0.0,0.0,0.0,271535,0.0,0.0,563,100950,31.31,3540589,0.004423191870890616,1.1265137341962286,0.0,0.0,42.83703405999999,0.3087298366364531,0.32799189291880115,0.36162912935350716,91.75796196158298
8370,3.0562925937751158,0.0005973715651135006,-54.73530578613281,0.0,0.32809365594574874,-0.001834949924216568,0.0,0.3667513592432797,0.0,5807,0.36338096857070923,0.0,3269880,0.0003,-1.7698848271639522,1.0,0.0,0.0,0.0,271656,0.0,0.0,563,101000,31.15,3542331,0.0044205495818399046,1.1265524345193292,0.0,0.0,43.21241837,0.308705672374939,0.32796727047359087,0.3616059348385588,91.75712061120441
,,,-51.921104431152344,,,,,,,5810,0.41631197929382324,,3271440,0.0003,,1.0,,,,271786,,,562,101050,30.67,,,,,,46.81494910000001,,,,
8375,3.056232028636817,0.0005970149253731343,-50.33600616455078,0.0,0.32811455882196106,-0.0018338125696848776,0.0,0.36677415719026274,0.0,5813,0.3581515848636627,0.0,3272868,0.0003,-1.7699943189932965,1.0,0.0,0.0,0.0,271905,0.0,0.0,562,101100,29.23,3544528,0.004417910447761194,1.1265967453061494,0.0,0.0,53.33649324,0.3087270304711133,0.32798835453883013,0.3616319350699289,91.75662205619253
8380,3.0564404089427826,0.0005966587112171838,-49.44298553466797,0.0,0.3281053518771965,-0.0018328378561662164,0.0,0.3667571288173271,0.0,5817,0.31642472743988037,0.0,3274380,0.0003,-1.7698587455207393,1.0,0.0,0.0,0.0,272031,0.0,0.0,562,101150,29.66,3546413,0.00441527446300716,1.1266178624430987,0.0,0.0,50.18472597,0.3087182814186244,0.32797917689722406,0.3616179045284802,91.75705421842223
8385,3.056917361004243,0.0005963029218843172,-51.688499450683594,0.0,0.32806507397774043,-0.0018320252672924865,0.0,0.3667103607237369,0.0,5820,0.3761330544948578,0.0,3275868,0.0003,-1.7698065278990582,1.0,0.0,0.0,0.0,272155,0.0,0.0,562,101200,30.28,3547986,0.004412641621943948,1.1266465987041845,0.0,0.0,48.16028637,0.30867917518949606,0.32793877184963455,0.36157398095862414,91.75645452841015
8390,3.057125174407746,0.0005959475566150178,-49.248592376708984,0.0,0.3280685186206282,-0.0018310524523285493,0.0,0.366701814408717,0.0,5823,0.43678396940231323,0.0,3277320,0.0003,-1.7699050833467005,1.0,0.0,0.0,0.0,272276,0.0,0.0,562,101250,28.79,3549871,0.004410011918951132,1.126693550800235,0.0,0.0,53.050174399999996,0.30868303007738307,0.32794230947115693,0.3615684680592241,91.75807347104642
8395,3.0576573212828033,0.0005955926146515784,-49.282257080078125,0.0,0.3280246468685776,-0.001830274943902073,0.0,0.36665499296410536,0.0,5826,0.3755120038986206,0.0,3278892,0.0003,-1.7698231036385808,1.0,0.0,0.0,0.0,272407,0.0,0.0,562,101300,29.75,3551379,0.004407385348421679,1.1267424112910351,0.0,0.0,50.78542032,0.30864134067090554,0.32789829267327386,0.3615244839462386,91.757221376922
8400,3.0579652347623107,0.0005952380952380953,-51.99400329589844,0.0,0.32800067151297946,-0.0018293642227580227,0.0,0.3666326214215518,0.0,5829,0.39417797327041626,0.0,3280416,0.0003,-1.7698319074749156,1.0,0.0,0.0,0.0,272534,0.0,0.0,562,101350,30.66,3553147,0.004404761904761904,1.1267837491959714,0.0,0.0,48.691244819999994,0.30861729715416525,0.3278742724272763,0.36150506920439124,91.75787258920165
8405,3.0584294235319502,0.000594883997620464,-52.40568542480469,0.0,0.3279664922979866,-0.0018285480231567321,0.0,0.3665934584542714,0.0,5832,0.35938137769699097,0.0,3281760,0.0003,-1.7697529433657266,1.0,0.0,0.0,0.0,272646,0.0,0.0,562,101400,29.43,3554733,0.004402141582391434,1.1268310435717355,0.0,0.0,49.31967392999999,0.308582415976937,0.32783999713054224,0.3614687751736719,91.75791930230962
8410,3.0592957916403134,0.0005945303210463733,-50.94978713989258,0.0,0.32788637247220054,-0.0018279731068596519,0.0,0.3664992414900875,0.0,5836,0.360912024974823,0.0,3283272,0.0003,-1.7695288788270265,1.0,0.0,0.0,0.0,272772,0.0,0.0,562,101450,28.94,3555851,0.004399524375743163,1.1268571938032057,0.0,0.0,49.568520819999996,0.3085024098077289,0.327759550756376,0.36137714739494536,91.75873162293101
8415,3.059133008165726,0.0005941770647653001,-49.858768463134766,0.0,0.3279486192533092,-0.0018267843115763321,0.0,0.3665494096466913,0.0,5839,0.35833293199539185,0.0,3284772,0.0003,-1.7699166200078809,1.0,0.0,0.0,0.0,272897,0.0,0.0,562,101500,30.2,3558165,0.004396910279263221,1.1269481148621867,0.0,0.0,47.0639881,0.30856415519017844,0.3278221855075534,0.3614306258982652,91.76153036045845
8420,3.059394913180814,0.0005938242280285036,-51.468719482421875,0.0,0.32794179258638034,-0.0018258503898190583,0.0,0.3665338681517301,0.0,5843,0.35888928174972534,0.0,3286368,0.0003,-1.769921305536755,1.0,0.0,0.0,0.0,273030,0.0,0.0,562,101550,31.42,3559985,0.004394299287410927,1.1269934545020452,0.0,0.0,44.49923221,0.30855623150608397,0.3278154000734626,0.3614180613877816,91.76213668892615
,,,-51.4232292175293,,,,,,,5846,0.29288268089294434,,3287820,0.0003,,1.0,,,,273151,,,562,101600,30.24,,,,,,48.80598680000001,,,,
8425,3.0594778851172078,0.0005934718100890207,-52.212989807128906,0.0,0.3279570754078004,-0.0018248108583545316,0.0,0.36654622797252995,0.0,5849,0.3427217900753021,0.0,3289356,0.0003,-1.7700530752500352,1.0,0.0,0.0,0.0,273279,0.0,0.0,562,101650,29.97,3562013,0.004391691394658754,1.1270586699890837,0.0,0.0,47.92628716,0.3085719564742027,0.32783083485015696,0.3614335344313291,91.76183619654928
8430,3.0594045322080015,0.0005931198102016608,-49.799957275390625,0.0,0.3279817283345764,-0.0018236793825751082,0.0,0.3665724308164646,0.0,5852,0.4469272494316101,0.0,3290904,0.0003,-1.7700549699221382,1.0,0.0,0.0,0.0,273408,0.0,0.0,562,101700,29.27,3564223,0.0043890865954922895,1.1271088654544996,0.0,0.0,49.19874089000001,0.3085977953456882,0.3278556864686012,0.3614629161006275,91.7609867584568
8435,3.059688161890423,0.0005927682276229994,-55.59769821166992,0.0,0.3279565693420829,-0.0018227619217743493,0.0,0.3665414966374953,0.0,5855,0.39664536714553833,0.0,3292152,0.0003,-1.7699744664669161,1.0,0.0,0.0,0.0,273512,0.0,0.0,562,101750,27.67,3566017,0.004386484884410196,1.1271148886463005,0.0,0.0,52.76320818999999,0.3085735113620352,0.3278304766637218,0.36143487103616584,91.76175060410364
8440,3.0598823122187606,0.0005924170616113745,-48.99596405029297,0.0,0.32794054879264034,-0.0018217922792443206,0.0,0.36652487625594804,0.0,5858,0.32091912627220154,0.0,3293580,0.0003,-1.7702250193347278,1.0,0.0,0.0,0.0,273631,0.0,0.0,562,101800,27.98,3567915,0.004383886255924171,1.1271319565646778,0.0,0.0,50.39042766000001,0.30855742644475714,0.32781445106549556,0.36142120791491644,91.76409911890094
,,,-45.74790954589844,,,,,,,5860,0.3824992775917053,,3295068,0.0003,,1.0,,,,273755,,,562,101850,29.21,,,,,,48.69976784000001,,,,
8445,3.05994253731615,0.0005920663114268798,-47.657440185546875,0.0,0.32795706824562193,-0.0018207441016994826,0.0,0.36653729016720676,0.0,5864,0.3987523019313812,0.0,3296628,0.0003,-1.7705615575161093,1.0,0.0,0.0,0.0,273885,0.0,0.0,562,101900,30.09,3569969,0.004381290704558911,1.127188979141543,0.0,0.0,48.20186380999999,0.3085741182901073,0.3278311281176276,0.3614367206868176,91.76558592339555
8450,3.059679767103348,0.000591715976331361,-48.985023498535156,0.0,0.32801037921223064,-0.001819505094614265,0.0,0.3665841364111464,0.0,5866,0.3633582592010498,0.0,3298080,0.0003,-1.7709683173873958,1.0,0.0,0.0,0.0,274006,0.0,0.0,562,101950,29.95,3572400,0.004378698224852071,1.127232899763125,0.0,0.0,49.16138265000001,0.30862713355939564,0.32788478027848433,0.3614868341036458,91.76713131936546
8455,3.060218613025844,0.0005913660555884093,-52.11518096923828,0.0,0.3279592145611061,-0.0018187439754105814,0.0,0.3665262867112631,0.0,5869,0.3491556644439697,0.0,3299616,0.0003,-1.7707603743268172,1.0,0.0,0.0,0.0,274134,0.0,0.0,562,102000,30.09,3573895,0.004376108811354229,1.1272501718829395,0.0,0.0,48.386780200000004,0.3085776890926754,0.32783343484515626,0.3614317250223459,91.76623783841877
8460,3.0608460414075966,0.000591016548463357,-51.207794189453125,0.0,0.32791301776516313,-0.0018180363752717964,0.0,0.36646782642489745,0.0,5873,0.28748324513435364,0.0,3301164,0.0003,-1.770618066884231,1.0,0.0,0.0,0.0,274263,0.0,0.0,562,102050,30.89,3575286,0.004373522458628842,1.1272981315896842,0.0,0.0,45.69664525,0.3085297322748039,0.32778708226792913,0.36137599905249457,91.76724200477132
8465,3.0610057019089947,0.0005906674542232723,-46.794734954833984,0.0,0.32791461441698894,-0.001817051942246821,0.0,0.3664694395066319,0.0,5876,0.27888160943984985,0.0,3302580,0.0003,-1.7706482632128033,1.0,0.0,0.0,0.0,274381,0.0,0.0,562,102100,30.0,3577223,0.004370939161252215,1.127358573890304,0.0,0.0,49.29603318,0.3085326719414308,0.3277887616381288,0.3613806427511464,91.76697463686416
8470,3.061643362867221,0.0005903187721369539,-51.74932861328125,0.0,0.3278579568725691,-0.0018163522560911373,0.0,0.3664017750100224,0.0,5879,0.29722365736961365,0.0,3303972,0.0003,-1.7705263482940503,1.0,0.0,0.0,0.0,274497,0.0,0.0,561,102150,28.41,3578601,0.004368358913813459,1.1273819063325052,0.0,0.0,52.71297996000001,0.3084761257176939,0.3277318964106321,0.3613156600384619,91.77146555988307
8475,3.062291653049219,0.0005899705014749262,-49.23551940917969,0.0,0.32780764342585145,-0.0018156597017960506,0.0,0.36633537654189224,0.0,5882,0.2981390953063965,0.0,3305376,0.0003,-1.770322650888046,1.0,0.0,0.0,0.0,274614,0.0,0.0,561,102200,27.62,3579966,0.004365781710914454,1.1274129653274978,0.0,0.0,53.43573328999999,0.3084264068935646,0.3276814071234719,0.3612519464795214,91.77352930490287
8480,3.062061357351778,0.0005896226415094339,-49.783119201660156,0.0,0.3278542608708003,-0.0018144473556244239,0.0,0.36639152977142897,0.0,5885,0.38646239042282104,0.0,3307092,0.0003,-1.770436935204249,1.0,0.0,0.0,0.0,274757,0.0,0.0,561,102250,30.4,3582358,0.004363207547169811,1.1274976697031347,0.0,0.0,45.79151963,0.3084741800586308,0.32772833140821683,0.3613113914352909,91.77122969340702
8485,3.0625977125735906,0.0005892751915144372,-47.149166107177734,0.0,0.3278137238765367,-0.001813690461076389,0.0,0.3663425039684791,0.0,5888,0.33388179540634155,0.0,3308508,0.0003,-1.7702470591743407,1.0,0.0,0.0,0.0,274875,0.0,0.0,561,102300,30.36,3583853,0.004360636417206835,1.1275409630071727,0.0,0.0,46.825094799999995,0.3084340573138059,0.3276876673375058,0.3612651302430193,91.77177207379698
,,,-54.978363037109375,,,,,,,5892,0.5658523440361023,,3309936,0.0003,,1.0,,,,274994,,,561,102350,29.01,,,,,,51.40790548,,,,
8490,3.06252288373071,0.0005889281507656066,-52.31302261352539,0.0,0.3278425993255227,-0.0018125727294807704,0.0,0.36637137426041033,0.0,5894,0.3575097918510437,0.0,3311280,0.0003,-1.7703688296253568,1.0,0.0,0.0,0.0,275106,0.0,0.0,561,102400,29.34,3586063,0.004358068315665489,1.127598965953251,0.0,0.0,51.422972359999996,0.3084632661748605,0.32771676095073804,0.3612971491406428,91.77209987284151
8495,3.063180591038394,0.0005885815185403178,-51.2699089050293,0.0,0.3277823915440872,-0.0018118896196843688,0.0,0.3663040685133987,0.0,5898,0.33263280987739563,0.0,3312936,0.0003,-1.770126049257084,1.0,0.0,0.0,0.0,275244,0.0,0.0,561,102450,29.5,3587415,0.004355503237198352,1.1276306347577671,0.0,0.0,52.96086633999998,0.3084032633936533,0.3276563284520488,0.3612325104093918,91.77133425130529
8500,3.062495473966254,0.000588235294117647,-49.96569061279297,0.0,0.32787004828453065,-0.0018104134984430443,0.0,0.3664083787100783,0.0,5900,0.4387019872665405,0.0,3314364,0.0003,-1.770545152227016,1.0,0.0,0.0,0.0,275363,0.0,0.0,561,102500,30.29,3590340,0.004352941176470588,1.1276961674255233,0.0,0.0,48.42368093000001,0.30849243585737285,0.3277444949936933,0.36134033666409704,91.76901152683779
