rollout/n_episodes,reward/success_reward,rollout/workspace_violation_rate,train/actor_loss,reward/detour_penalty,rollout/all_expected_path_length_mean,reward/workspace_penalty,rollout/collision_rate,rollout/all_actual_path_length_mean,reward/action_norm_penalty,time/time_elapsed,train/critic_loss,reward/smoothness_penalty,time/total_timesteps,train/learning_rate,reward/distance_penalty,rollout/success_rate,reward/path_efficiency_bonus,reward/path_length_penalty,reward/backtrack_penalty,train/n_updates,reward/progress_reward,reward/direction_penalty,time/fps,time/episodes,rollout/ep_len_mean,rollout/reward_steps,rollout/max_steps_rate,rollout/action_norm_mean,reward/step_penalty,reward/collision_penalty,rollout/ep_rew_mean,rollout/distance_improvement_mean,rollout/success_expected_path_length_mean,rollout/success_actual_path_length_mean,rollout/success_path_efficiency_percent_mean
65,0.12488592151400163,0.07692307692307693,0.22521325945854187,0.0,0.3472445823252201,-0.024016523368077237,0.0,1.005476544162957,0.0,338,0.6365265250205994,0.0,251040,0.0003,-0.8913515178530366,0.92,0.0,0.0,0.0,20086,0.0,0.0,742,850,140.8,270647,0.5230769230769231,0.31392466867801294,0.0,0.0,10.779376139999997,0.2794913474398737,0.3344222805820979,0.5022095458457793,74.84648680926753
,,,-2.3445637226104736,,,,,,,341,1.143800139427185,,254280,0.0003,,0.98,,,,20356,,,743,900,101.67,,,,,,31.27032997,,,,
,,,-3.3982765674591064,,,,,,,344,59.94091796875,,256248,0.0003,,1.0,,,,20520,,,743,950,58.68,,,,,,45.04233697000001,,,,
70,0.14498854122819327,0.07142857142857142,-0.5577430725097656,0.0,0.34935503713786603,-0.02338524858519246,0.0,0.9754472047024008,0.0,346,0.7569589614868164,0.0,258084,0.0003,-0.8898578490260451,1.0,0.0,0.0,0.0,20673,0.0,0.0,744,1000,37.74,277953,0.4857142857142857,0.3193550618809877,0.0,0.0,53.68384165999999,0.2849154162619795,0.3412559368918019,0.5155734564698744,73.78446323319632
75,0.16630479974130363,0.06666666666666667,-2.8214352130889893,0.0,0.35727373068531354,-0.02309788885295884,0.0,0.9455376551199394,0.0,349,1.600581169128418,0.0,260304,0.0003,-0.903428622248306,1.0,0.0,0.0,0.0,20858,0.0,0.0,744,1050,38.12,281411,0.4533333333333333,0.3275988618706659,0.0,0.0,48.86058186,0.29573946884522834,0.35887809014982647,0.5171332487609308,75.86801052918413
80,0.1882720301235248,0.0625,-4.422316551208496,0.0,0.35064330347813666,-0.022960003673600588,0.0,0.90330644695714,0.0,352,1.0531105995178223,0.0,262044,0.0003,-0.9062133011021842,1.0,0.0,0.0,0.0,21003,0.0,0.0,742,1100,38.62,283101,0.425,0.3318387164619305,0.0,0.0,46.116675609999994,0.2915924699511379,0.34574501761576026,0.4869753311699819,78.14304977198543
85,0.20988273942601635,0.058823529411764705,-4.987795352935791,0.0,0.3452491364496596,-0.022813341241958298,0.0,0.867076404735802,0.0,355,109.15565490722656,0.0,263772,0.0003,-0.9100686741976088,1.0,0.0,0.0,0.0,21147,0.0,0.0,742,1150,37.42,284921,0.4,0.3362754754706056,0.0,0.0,49.55918722999999,0.28838493646506,0.33630995743948483,0.4652818961726355,79.77280772781462
90,0.2311771905172023,0.05555555555555555,-6.079768180847168,0.0,0.33769296039309765,-0.02266443044286297,0.0,0.8325868695785175,0.0,357,140.30343627929688,0.0,265452,0.0003,-0.9096387868431679,1.0,0.0,0.0,0.0,21287,0.0,0.0,742,1200,35.38,286793,0.37777777777777777,0.3396619366534923,0.0,0.0,52.798171159999995,0.2827677420495699,0.3238519192034123,0.4438096290875418,80.3777392891144
95,0.25157232704402516,0.05263157894736842,-4.817542552947998,0.0,0.33782526642868393,-0.022461814914645103,0.0,0.8092272263836716,0.0,359,0.7967531681060791,0.0,267252,0.0003,-0.9154237587762594,1.0,0.0,0.0,0.0,21437,0.0,0.0,743,1250,35.64,289380,0.35789473684210527,0.34535753878267766,0.0,0.0,50.45393803000001,0.2846541553490648,0.3253121741914323,0.4388939165686939,80.92822260590434
100,0.2719935791679672,0.05,-6.0732502937316895,0.0,0.334773928783834,-0.022294555669505507,0.0,0.7844230008662271,0.0,361,1.2299354076385498,0.0,269172,0.0003,-0.9166880776668743,1.0,0.0,0.0,0.0,21597,0.0,0.0,744,1300,37.66,291551,0.34,0.3497672526190095,0.0,0.0,47.11571844,0.2831417685840279,0.321335644629158,0.4285864411150945,81.73255611074643
