#{"t_start": 1779858367.2636168, "env_id": "None"}
r,l,t
-257.2271,300,38.150807
-238.582845,300,76.911943
-269.082193,300,124.086207
25.845974,192,154.399724
-56.568601,300,203.947882
-5.060387,221,239.447375
51.520519,14,242.041813
53.822947,24,246.450702
62.145298,16,249.539019
78.438044,22,254.090056
44.269297,88,270.083582
71.865775,33,276.536275
47.314464,11,279.08025
68.068363,52,288.861381
58.945876,51,298.04948
69.998675,16,301.533934
67.548885,27,306.995456
53.407589,13,309.834347
68.541181,31,315.613858
68.066033,53,326.666517
68.586546,24,331.161332
64.300564,40,338.801853
64.235384,29,344.997634
35.837406,53,354.89781
47.085366,23,360.555243
64.022557,79,378.270252
50.834085,15,381.846351
60.991387,16,385.755904
66.206388,14,389.17532
51.643549,41,398.335578
53.890066,21,403.366168
75.479715,20,407.588861
35.198558,12,410.704153
50.30401,19,414.390205
37.060488,2,415.172291
77.374318,19,419.734628
68.100961,42,428.603524
62.044699,17,432.875959
48.702864,11,435.009554
62.379727,17,438.261457
71.809644,19,441.990234
67.540485,13,445.084663
46.926732,6,446.78663
34.945936,3,447.440895
54.167657,10,450.053749
70.7357,65,465.192941
48.724101,5,466.858952
46.555754,11,469.833077
31.107349,12,472.937911
62.135279,63,486.557394
53.413542,14,489.805039
69.930884,18,494.175887
60.447585,14,497.788491
52.173125,7,500.111591
69.646,12,503.331599
34.821041,30,510.650114
57.955643,15,514.610713
63.188745,21,519.338153
36.875796,24,524.611812
74.910899,45,535.851465
58.21085,13,539.021455
39.065023,12,541.954833
67.20754,11,545.463195
55.547803,12,548.216176
45.6452,11,550.486446
66.413749,14,554.271408
63.595821,16,558.121477
67.369723,17,562.854738
32.285472,7,564.336887
47.584854,5,565.869965
47.686275,8,568.094376
35.59475,10,570.113682
62.119505,34,579.096232
68.371112,35,587.962829
36.881918,19,593.359851
45.944267,5,595.062634
60.569871,12,598.118753
64.262148,10,600.746094
34.069545,2,601.292335
53.729285,15,605.12323
74.921561,15,609.014422
66.978869,19,614.607644
38.912046,12,618.130927
65.309804,14,621.558118
57.53372,22,626.894791
53.404033,10,629.578351
56.899873,6,631.701587
51.322801,9,633.912035
61.707294,41,645.763275
73.424988,14,650.157977
38.306703,4,651.543875
38.548871,4,652.555999
66.183129,11,655.365152
50.726315,8,657.067608
73.307957,12,660.876498
40.747738,10,663.298991
72.046541,18,669.22643
68.603923,15,673.776803
46.381765,9,675.742174
78.95282,19,680.262474
56.662438,10,682.935084
77.387972,19,687.790082
45.596357,7,689.935789
44.099094,8,691.807658
45.788102,6,693.736037
60.934575,11,696.916756
74.415177,37,707.372615
45.726193,13,711.443931
76.973637,17,716.002511
67.226094,14,720.625592
65.230719,15,724.151347
74.26405,16,728.52742
54.671072,10,731.074345
63.387213,20,736.411897
55.413426,6,738.537977
33.659945,2,739.043406
41.037665,15,743.819563
65.638297,12,747.252251
67.897593,14,750.839559
66.406774,22,756.371911
50.436975,12,759.723416
73.803764,13,763.574975
58.673496,23,770.010884
69.443832,30,777.581126
79.451673,14,781.283901
49.527553,7,783.113292
59.171074,9,785.830482
51.214102,9,787.829368
67.541694,23,794.939217
64.642189,20,801.035638
63.638211,15,805.096121
67.943735,19,809.479825
77.114822,16,814.471073
49.184872,8,816.594708
48.818294,7,818.728803
68.519837,17,823.495067
63.999274,12,826.995437
64.632672,15,831.983107
53.085888,12,834.673576
72.896431,16,838.755193
45.405914,7,841.177438
74.743494,15,845.005413
54.414935,16,849.138994
64.495152,19,853.99129
77.199182,18,858.998491
76.101071,21,866.005946
55.543199,11,869.665452
31.869822,1,870.018115
77.835729,16,874.009352
64.712056,18,878.63332
83.709959,20,884.332866
62.148802,10,887.783159
85.624924,18,892.957839
82.794227,29,900.60226
70.366564,18,906.239511
48.596148,8,908.403439
64.354651,10,911.510765
75.016748,17,916.630872
55.394284,17,921.282082
72.714939,12,924.710366
68.183326,12,928.28843
49.630274,7,930.029196
42.174087,12,933.238555
42.854848,5,935.218151
56.974649,10,938.049671
77.313518,21,943.371193
67.950071,19,948.904512
63.624109,17,953.633566
68.54337,17,957.564013
62.499901,12,961.181444
51.384227,6,962.977337
60.036681,14,966.899512
38.338995,2,967.681938
64.696238,15,971.600614
50.863297,12,976.277026
81.798988,21,982.055663
76.844131,20,987.898565
33.354576,2,988.709672
60.105907,15,992.853014
75.766584,18,998.216225
68.756643,20,1004.590288
65.294472,9,1007.653008
68.135778,14,1011.438393
45.288246,5,1012.943484
37.202573,5,1014.420193
46.567902,7,1016.558049
55.285241,13,1020.068963
37.172918,4,1021.401386
67.403646,12,1024.644332
49.545047,8,1027.233845
59.65891,16,1031.232013
82.506739,17,1036.120128
53.531577,5,1037.851452
46.592503,15,1042.176672
71.925795,13,1045.919609
43.953102,18,1050.377404
40.875678,8,1052.617478
63.515759,15,1057.452075
84.790168,20,1062.771962
41.300912,3,1064.167523
70.523179,11,1067.17282
42.311241,10,1070.02617
64.54743,17,1074.085376
48.38684,9,1077.090805
45.695066,14,1080.266527
62.542605,11,1083.02134
68.687454,11,1086.075424
64.317035,15,1090.127969
51.398822,10,1093.125493
