#{"t_start": 1779858368.5778866, "env_id": "None"}
r,l,t
-122.787768,300,36.844219
-241.780565,300,75.60251
-136.251598,300,122.779519
-77.078883,300,170.892122
63.141489,61,181.036276
5.588163,242,220.8159
4.471406,125,241.059247
43.714037,26,245.831159
58.13913,96,263.002132
51.699114,26,268.447925
53.354596,24,272.993037
52.825093,29,279.463036
67.557123,44,287.549293
52.381309,20,291.229367
75.827507,23,295.349223
57.731697,38,303.315558
71.750685,32,309.98614
62.934809,119,333.253597
64.18332,33,339.878806
75.693941,29,345.468636
75.326465,31,351.054324
62.940336,20,355.39929
66.918533,13,358.427667
57.378842,29,365.307531
63.01494,37,373.239707
75.510241,24,378.949173
57.196329,23,384.802701
40.105541,8,386.380316
56.741905,25,392.288537
47.02325,15,395.279314
86.195706,22,400.804919
68.074511,18,404.512557
34.271561,2,405.270589
75.926683,41,414.685879
62.835052,14,417.917813
74.117076,18,421.644922
66.78495,17,425.055681
33.224552,8,426.92027
57.588198,31,434.253322
64.036101,18,437.605699
73.835056,22,442.294434
51.743318,12,445.0177
49.986427,14,448.75878
34.09415,16,452.467951
77.272271,20,457.105301
65.769581,17,460.64713
63.27468,14,464.415797
58.094903,15,468.920434
66.316556,35,476.818681
64.135307,31,483.380834
59.893669,10,486.016351
58.223099,12,488.50277
61.240814,11,491.10531
57.795921,9,493.647706
56.335781,12,496.48534
50.458364,10,499.769596
65.028966,25,505.845645
37.684859,3,507.002526
68.020608,17,511.003007
28.806958,1,511.404363
73.411737,29,518.031196
75.756656,40,527.34713
65.004528,13,530.83055
60.871579,16,534.535787
62.844531,10,537.059876
54.767965,7,538.875658
70.312343,15,543.079115
63.335542,34,550.848375
69.844559,23,556.817779
45.182137,9,559.214784
70.843876,15,563.017985
46.992155,12,566.352994
76.525578,15,569.896029
67.727379,16,574.240251
83.08487,33,582.537824
44.324972,6,584.054416
46.265507,11,587.078618
45.3561,28,595.102774
42.975319,16,599.015841
58.646329,26,606.312346
61.675327,15,610.530822
62.77183,36,619.858391
67.272579,21,624.732631
31.997275,1,625.15263
79.217846,17,630.386526
63.853931,12,633.734417
41.074663,12,636.744792
71.881607,25,644.075912
69.186542,12,647.669423
51.964758,6,649.850443
66.326097,16,654.054321
58.92644,19,659.139698
76.839138,18,664.388628
64.899609,11,667.926977
56.542906,10,670.915631
60.030713,14,674.431873
57.519886,17,678.21636
58.29026,11,681.322055
71.735864,25,687.85968
63.692456,12,691.411989
44.976851,7,693.616211
61.991659,10,696.486434
61.345944,19,701.111907
59.712174,20,707.214657
36.431494,3,708.602617
48.619283,15,712.57118
66.323906,16,717.308382
29.303029,1,717.640212
69.905042,33,725.968265
43.591331,12,729.365998
53.905053,7,731.156697
66.139607,17,736.078403
79.649386,13,740.476234
69.023408,12,744.199391
37.028102,13,747.053503
65.990451,22,752.848403
62.170417,11,756.225585
70.550671,20,761.568138
50.800649,8,764.342713
44.809662,8,766.309591
33.013671,9,768.714708
72.962324,19,773.616277
74.148937,24,779.537566
62.27759,10,782.698534
62.749533,20,787.731325
58.717083,10,790.243237
57.237683,13,794.628935
62.923659,8,797.308943
48.355851,8,799.72629
76.555416,33,807.759354
52.030734,8,810.706888
72.486851,19,816.087338
35.683422,4,816.942682
67.955338,16,821.374892
63.640731,14,825.69173
65.145022,9,828.571495
58.479835,11,831.842765
40.062149,9,833.957532
74.109707,20,839.445473
60.939075,13,842.627157
54.390685,11,845.804796
82.998031,19,851.023242
72.278947,17,855.287597
68.055593,13,858.772571
33.369203,2,859.483677
41.849986,7,861.65679
64.639399,13,865.818205
57.35654,13,870.311579
61.80375,29,877.744259
66.911006,15,881.872447
58.674364,12,885.663098
48.129578,10,889.415678
46.227684,7,890.933344
63.827203,9,893.635192
61.956078,19,898.278717
75.587751,13,902.03523
37.296089,4,903.179568
55.246761,7,905.740726
56.066286,10,908.730329
41.822893,7,910.63199
50.845714,9,913.111537
47.346581,9,916.12589
64.506804,14,919.607736
70.29921,13,923.399486
64.198416,11,926.420617
50.954904,12,930.023772
56.299767,9,932.244317
57.336583,13,936.363866
83.436544,22,942.077676
68.129352,13,945.9916
69.847927,22,951.971627
63.610139,11,954.690647
62.270699,14,958.096472
64.055561,10,961.309257
59.700544,14,965.191397
35.08435,4,966.755203
74.385781,16,971.152929
70.466591,18,977.153834
69.534124,14,981.115506
47.648825,5,982.590166
57.445219,10,985.774305
53.819381,7,987.789112
73.532777,18,992.640642
61.603864,14,996.912751
39.433248,2,997.737611
54.104848,9,1000.335973
54.155362,12,1004.336007
37.936234,7,1006.711263
75.176396,18,1011.635243
49.916169,13,1015.680619
68.190415,15,1019.718171
79.12915,15,1023.873
68.377678,15,1028.271624
72.492434,16,1032.45935
55.461015,8,1034.810658
64.784966,16,1039.618194
55.680572,10,1042.363946
51.245825,18,1046.869704
71.181133,13,1050.69258
69.530924,17,1056.148412
46.913323,9,1058.641692
49.615408,12,1061.866011
57.149833,10,1064.881416
67.58064,19,1070.136894
59.862254,15,1074.050078
64.694929,13,1077.46277
52.816242,12,1080.137954
80.391562,25,1087.133325
34.540065,4,1088.247598
58.562533,11,1091.477109
