#{"t_start": 1779858368.9468012, "env_id": "None"}
r,l,t
-263.592168,300,36.47758
-217.195405,300,75.22718
-11.039364,141,97.504843
-177.660901,300,144.386994
-38.079766,300,193.385518
52.302451,241,232.932771
49.911241,89,248.96083
61.507782,103,267.299477
72.255757,39,275.630049
59.304143,75,289.867206
69.044485,65,302.589122
61.272697,107,324.164937
65.998314,19,327.449968
55.759774,48,336.775445
42.529601,48,346.811957
67.699633,23,350.662623
60.967072,21,355.358524
68.165828,40,364.578833
46.041188,19,368.764709
63.865908,36,377.334874
50.247485,18,381.466522
55.237293,22,386.843239
51.350384,14,389.649389
43.314802,13,392.943856
65.263496,15,395.951918
61.260823,11,398.962134
58.586102,36,406.875273
42.624681,5,408.079188
73.829935,92,428.794987
75.760515,57,440.304444
46.334566,14,443.798092
39.38303,9,446.116339
61.74773,29,452.937178
56.946449,26,458.659659
42.76717,16,462.711375
72.537953,12,466.449067
53.377345,14,470.290751
62.788565,53,481.699663
51.304024,16,485.250605
45.930306,23,490.320525
37.406948,2,491.111852
66.286738,18,495.357686
50.652552,5,497.138386
54.647664,20,502.949187
68.640797,34,511.343247
56.256522,32,518.905577
72.793587,21,523.328207
75.280459,32,531.516671
40.652881,21,536.306774
72.142243,19,541.41297
50.335797,15,545.287662
59.355384,11,547.894589
71.282151,22,553.474071
66.29434,31,561.537152
50.72452,12,564.609802
64.390864,29,571.379911
64.553433,15,575.135794
38.691271,5,576.571086
63.189866,15,581.007806
59.682375,12,583.670788
60.068566,20,589.479073
49.034454,15,593.702746
67.233322,21,599.061073
54.722195,10,601.790312
48.593046,10,604.388007
52.710314,14,608.114452
63.247635,12,611.911137
61.321054,41,622.230771
50.570113,10,624.3618
65.057284,14,628.432919
74.433738,28,636.379392
58.472845,10,639.026991
55.714816,9,641.735593
56.649475,11,645.63363
84.601303,19,651.263392
69.049446,23,656.891525
69.149918,17,661.620694
48.157089,5,663.498955
66.700585,11,666.813035
29.826285,1,667.19735
48.34444,6,668.765134
74.478698,16,673.319119
59.685947,41,683.297834
56.31589,14,687.155923
65.067714,26,694.702795
63.562356,14,698.402661
68.736831,15,702.374298
49.371421,6,704.381294
64.349167,10,707.78837
36.328175,6,709.358189
57.955951,18,714.327204
67.84547,24,721.30252
43.575936,11,723.792228
50.465149,8,725.984222
71.90247,20,731.590441
70.199486,14,735.320941
49.351442,7,737.72167
71.144884,16,742.838578
43.998292,4,744.23208
80.012486,21,749.558751
58.885851,12,752.047643
64.294032,20,757.688533
68.169074,17,762.802401
62.966276,17,767.362037
61.249814,11,770.619956
69.354597,14,773.868075
40.600245,9,776.293239
72.930642,15,780.157807
36.450202,10,783.264368
36.401789,19,787.916358
39.624029,9,790.285412
59.009441,7,792.805236
57.384428,11,796.311393
59.954106,17,801.379022
82.164589,25,806.987063
52.577824,4,808.722033
38.095409,12,812.043395
50.819955,23,818.718421
62.674726,21,824.478065
56.323699,10,827.825798
72.817813,18,832.637913
60.354874,9,835.493976
31.358172,8,837.072654
64.814202,18,841.895438
75.283257,19,847.030784
55.219811,11,850.206602
69.141262,16,854.063641
77.450526,21,860.547596
66.661128,18,866.345876
57.127428,13,870.788883
66.506558,25,876.572927
54.282871,11,879.973091
53.381822,14,883.962724
52.966011,5,885.757775
64.58174,15,890.167156
48.986494,5,891.611912
70.246277,19,896.574849
57.551155,9,898.92164
46.303663,13,902.799266
69.563847,16,907.943029
37.928639,3,908.835192
57.618232,12,911.952785
53.853145,10,915.35939
59.121672,9,917.881693
64.99258,14,921.34879
63.478133,15,925.626178
65.172479,22,931.87296
57.022921,12,935.613599
68.33435,10,938.564769
67.978974,25,945.200436
73.569248,19,950.740415
68.31024,15,954.315402
72.092152,22,960.124028
68.425656,12,963.53204
42.581345,5,965.213738
79.845709,26,973.644316
49.004085,5,975.186191
63.886595,17,979.869716
65.473734,14,983.970174
37.551979,3,984.960354
57.594483,12,988.712434
52.732075,11,991.522954
74.361063,18,996.926319
79.213349,19,1002.909347
66.059678,18,1008.500473
69.440571,10,1011.255736
63.704035,12,1014.876465
64.891943,13,1018.381016
34.893752,6,1020.216504
71.959105,17,1025.151283
68.597968,17,1029.548828
59.120791,11,1032.807666
69.340592,12,1036.534611
40.321302,6,1037.725011
56.229982,7,1040.112347
64.088496,9,1042.68832
84.000038,17,1046.891841
44.668633,11,1049.904178
74.810529,12,1053.851499
57.992736,15,1058.266321
45.191061,5,1059.764653
54.556411,10,1062.85726
30.431689,1,1063.220142
73.285395,27,1070.279873
60.551683,13,1073.67039
66.660093,13,1077.071054
66.853553,17,1081.338201
57.153391,12,1084.874816
44.339649,8,1086.761468
63.80574,14,1090.705532
40.878342,10,1093.453516
