#{"t_start": 1779858367.6791806, "env_id": "None"}
r,l,t
-305.482631,300,37.739905
-235.499032,300,76.50539
-190.665147,300,123.675644
-43.23151,237,161.120757
53.086839,16,163.75244
53.570184,15,166.451006
-20.235457,300,215.147526
50.304254,33,221.209651
50.040564,125,241.230998
41.84991,3,242.32194
40.92886,41,249.817397
62.618775,80,263.896624
55.695549,87,281.944753
57.999066,31,287.235588
45.835785,57,298.157114
69.984687,54,309.075603
77.451492,43,317.48462
63.773423,15,320.995267
49.387013,11,322.810936
63.535302,149,351.602966
37.518615,2,352.36695
68.117949,21,356.989807
41.652417,12,359.725426
58.034429,10,362.024935
57.619086,16,365.454357
55.040618,16,369.153202
56.253198,20,373.420876
56.43422,11,375.982467
79.929728,26,382.264217
68.825909,23,388.113646
73.197659,19,392.330836
68.647424,45,402.605811
64.092953,15,405.763744
51.529234,10,408.148317
50.888607,27,413.983078
72.974669,16,417.894535
54.236418,15,420.977827
44.201961,5,422.153135
48.703244,9,423.892762
77.331535,73,439.839585
56.052303,11,442.113844
65.115605,21,447.39705
69.627035,22,452.477368
72.397003,20,457.288626
67.634847,36,466.045078
65.494209,15,470.344179
62.501899,9,472.52732
60.857259,12,475.283553
73.274372,36,482.980122
52.312756,9,484.814033
62.410086,21,489.804534
67.758245,18,494.145044
61.264181,15,497.979061
50.004032,24,504.963021
42.444153,28,511.444449
40.836168,4,513.005401
48.022327,14,516.062068
77.106034,19,520.92191
63.475109,19,524.613767
65.197888,16,528.610115
63.946739,11,531.313757
45.103259,9,533.565563
35.936122,22,539.043554
60.928019,12,541.959623
50.243,7,544.307871
43.487092,17,548.322028
69.269249,18,552.340464
46.093635,11,555.821507
44.112509,11,558.173724
63.567226,9,560.468338
57.206722,19,565.469107
37.868155,6,566.848775
80.44328,20,571.790625
43.529258,5,573.014734
38.231626,6,574.782941
64.454875,14,578.26888
72.739719,22,583.897897
73.92557,19,589.099707
33.160284,15,593.357756
65.529374,10,596.396683
47.518154,6,597.707423
53.543712,9,599.910196
45.519592,5,601.355741
52.247567,11,603.969123
58.641023,9,606.757947
58.870296,13,610.285073
66.79862,16,614.946613
35.120537,2,615.61496
85.984125,24,622.064139
57.451307,12,624.305514
40.780157,9,626.849578
70.534864,14,630.925724
75.55834,15,635.237084
73.224651,18,639.581648
40.013096,4,640.834601
37.882189,4,641.81114
35.767205,2,642.594642
43.406343,6,644.567866
70.124016,15,649.32095
61.384781,19,654.592359
76.549781,17,659.133651
36.583908,3,660.043225
66.044935,12,663.340568
60.008093,13,667.538296
61.858311,13,671.396919
39.324557,5,672.918137
58.15698,15,676.5944
70.772975,15,680.267243
58.365971,9,682.529293
59.04981,16,686.222869
48.785792,4,687.799192
41.487221,9,690.195205
52.128512,13,694.118811
63.003873,24,700.911605
68.206129,15,704.685274
55.589095,6,706.575118
56.309076,15,711.460642
66.054184,12,714.784981
61.640207,15,719.052018
47.667778,7,721.048921
64.678489,24,726.865936
60.491312,13,730.667344
65.29624,15,734.231605
52.562575,5,736.006578
39.915846,10,739.372927
69.53094,18,745.111569
42.94735,7,746.838435
59.535463,13,750.036845
54.455957,13,753.000916
69.204907,11,756.348188
68.970302,15,760.791611
58.330151,16,765.636629
51.178867,12,768.261093
43.601829,8,770.56936
40.297413,9,772.857871
74.99319,21,778.210144
66.090932,17,782.706067
42.796856,27,789.834698
68.145943,20,796.354505
74.239998,20,802.269957
52.228363,9,804.683431
46.688799,9,806.396125
72.630892,11,809.550522
78.154322,17,814.829029
48.288152,13,818.311521
69.956562,16,822.685522
30.275549,1,823.084179
62.86993,14,827.293316
69.113519,32,836.318751
57.423532,14,839.882095
42.83628,5,841.655437
63.194973,13,845.01341
69.813501,24,851.102439
36.885507,3,852.315037
65.757143,15,855.731272
74.557788,17,860.844642
52.868499,8,863.447193
57.731147,12,867.207093
66.252091,13,871.606384
60.983977,12,874.389412
70.460209,17,879.000454
61.598418,13,882.445204
52.293783,7,884.645977
65.854673,13,889.416369
78.653124,16,893.611638
55.695913,13,896.733851
68.261921,19,902.082332
57.942546,13,906.240049
65.660521,18,911.524542
48.442546,9,914.018614
52.957749,7,916.230257
85.54987,18,921.270553
55.997894,11,924.298477
39.710255,4,925.163243
71.864667,13,928.903487
82.242333,16,933.625327
61.304771,20,939.514693
45.367775,13,942.582685
41.557076,5,944.196398
46.4883,6,945.624693
66.398,10,948.877298
42.681235,3,950.007982
58.311848,14,953.618263
64.211451,16,957.149311
52.618359,8,959.434509
32.607522,3,960.35657
40.47499,5,961.761897
54.275189,6,963.598325
58.182685,12,967.272046
59.31097,21,973.76983
52.255544,6,975.882213
62.515816,26,983.123782
65.474069,18,988.694367
31.636202,1,989.132893
68.225612,14,992.784677
59.656583,8,995.441336
41.863313,7,997.027611
69.360882,12,1000.870576
34.210555,2,1001.646492
85.145049,12,1005.663854
38.644671,2,1006.579557
68.352237,13,1010.148956
68.382418,16,1014.781057
50.205732,6,1016.580744
82.573595,20,1022.032704
63.872512,14,1026.023787
73.574533,16,1030.144441
73.276782,18,1035.334639
71.06023,16,1040.049839
72.163099,34,1049.276767
64.406674,14,1053.474371
64.978847,10,1056.654912
83.010962,22,1062.769287
54.233081,10,1065.770368
37.257823,4,1067.164711
67.135721,17,1071.557404
71.210072,17,1076.262516
82.028838,22,1081.477498
44.875807,7,1083.567434
38.00866,8,1085.658428
65.647082,18,1090.713701
56.306709,16,1095.104982
