#{"t_start": 1779858369.227093, "env_id": "None"}
r,l,t
-140.112562,300,36.193748
-211.204217,300,74.961117
30.985305,1,75.640888
-134.330689,300,122.603737
-71.556768,300,170.6717
55.947655,65,181.380771
19.864998,210,215.049398
46.976473,62,225.595848
50.764629,98,242.009534
70.508091,40,249.883667
49.414559,75,262.801972
65.013443,22,266.602293
17.106081,153,297.017987
64.737934,29,303.044916
57.698922,15,305.714777
70.452106,51,315.568929
57.768564,10,318.055507
76.774187,26,323.180831
64.533204,32,329.552966
46.816139,18,333.12807
72.04984,31,339.225445
37.292915,4,340.06209
69.844599,32,346.13555
63.860414,46,355.443838
37.919366,4,356.493733
60.819005,17,360.025208
30.555469,1,360.479906
70.256656,25,366.196925
59.528239,31,372.955465
37.826685,42,382.887802
51.069951,39,392.136348
65.974152,25,397.737982
43.881183,15,401.419516
62.67025,28,407.479743
67.599723,83,425.729463
38.014673,3,426.633296
72.750604,110,451.297919
63.466125,11,454.323555
69.370688,37,462.437696
74.608225,11,465.808101
33.568085,13,469.280338
58.688714,27,475.181399
86.069845,24,480.092088
69.911727,34,488.250865
62.68621,12,491.223964
63.839109,19,495.832764
63.145676,13,499.852406
39.961846,7,501.710827
55.000612,16,505.586342
40.628209,3,506.743319
35.230858,34,514.923204
66.76618,16,518.634773
77.848307,22,523.476831
41.092373,6,524.917508
71.452774,13,528.309373
64.979621,23,533.517804
30.570464,1,533.902615
65.722495,17,538.2252
60.482048,13,541.666449
76.891917,20,546.766829
64.076998,19,551.243244
38.182397,4,552.303683
38.504892,4,553.563169
55.704141,12,556.158435
51.373102,10,558.92597
58.218969,27,566.133736
83.129227,41,575.914531
70.924659,15,580.326703
49.294151,32,588.786277
58.583266,9,591.060759
59.930162,15,595.483467
62.612769,20,600.764229
69.150213,13,604.100901
48.404972,13,607.406171
62.280621,24,614.826132
37.45954,9,617.077769
50.915259,11,619.598216
77.962446,21,624.503602
50.518735,10,627.270022
55.699434,15,631.559521
71.865307,10,634.573523
60.200156,29,642.657808
61.496158,15,647.379419
56.012443,12,651.342355
66.04218,18,655.501036
80.04534,20,660.976689
54.826574,5,662.894346
75.468935,18,668.124198
47.652606,10,671.386789
56.288408,35,679.979543
34.788408,21,685.021563
29.491399,1,685.432064
56.536342,17,690.309158
55.811233,8,692.966544
69.043266,22,698.980757
70.770154,20,704.519829
69.964519,18,710.330836
76.735061,20,715.529692
69.896314,36,724.925558
41.569904,6,727.124906
64.380943,14,730.505738
62.595222,14,734.460292
50.356121,5,736.222065
70.919559,10,739.446783
74.630741,14,743.956783
49.838181,18,748.105052
82.727994,45,760.17095
53.340496,18,765.671618
79.545893,22,771.304724
65.192128,16,775.19791
65.934816,14,778.905937
73.447347,12,782.610535
61.324344,15,786.313446
45.575988,14,790.013969
67.107639,15,795.333559
43.148644,7,797.366084
71.450617,17,802.004641
77.315469,26,808.920476
66.318453,14,812.913769
51.17901,13,816.295417
61.381171,10,819.561748
68.770349,19,824.605307
64.457504,17,830.443806
71.370733,18,834.76489
67.750911,14,838.337354
70.640275,15,842.431879
71.40304,17,846.745044
36.893225,10,849.555287
80.454703,29,857.445046
66.798315,13,861.471453
35.384024,4,862.689725
64.04368,13,867.286537
71.502642,30,875.092723
60.790379,15,879.300542
72.074211,22,886.211716
65.354261,13,889.901338
64.306212,19,894.816766
53.760015,15,899.142907
59.921413,9,901.830995
59.20247,17,906.872378
50.554981,9,909.551331
57.60437,14,913.677007
46.386551,13,917.619347
70.994937,18,922.396344
74.998251,13,926.331821
40.192741,8,928.485352
66.623805,19,933.949871
64.368393,13,937.505938
85.447854,27,944.934613
49.878964,6,946.597999
54.047858,12,949.990318
75.780708,28,956.69071
77.971387,24,964.008778
67.754276,23,970.968823
39.964182,4,972.64272
47.799642,5,974.317233
57.82992,11,977.172718
66.161286,19,982.720315
57.007025,14,987.125031
83.57468,19,992.501927
43.356132,11,995.476106
44.154467,9,998.301266
67.458106,12,1002.183214
63.247159,6,1004.498865
53.775869,12,1007.815475
48.717533,12,1011.416086
55.214318,9,1013.865019
54.139424,11,1017.322553
68.584973,14,1021.009984
72.073568,15,1025.675091
64.273508,16,1029.719176
62.360644,9,1032.184667
71.20224,22,1038.499923
77.666728,17,1043.306726
54.745516,8,1045.359993
60.367947,17,1050.044896
54.231375,6,1051.93041
71.5879,19,1057.54847
67.203922,14,1061.764411
44.29596,8,1063.844837
50.44011,14,1068.069649
72.858558,23,1073.970555
56.350036,11,1076.812817
43.292178,6,1078.316454
58.53377,11,1081.069342
65.001071,19,1086.071352
40.363618,5,1087.611984
42.035914,5,1089.162471
41.862239,8,1091.602731
