#{"t_start": 1779858368.438096, "env_id": "None"}
r,l,t
-193.265175,300,36.979562
-250.779181,300,75.735411
-187.79108,300,122.914476
-135.442902,300,171.021456
65.690209,28,175.787898
61.411847,26,179.885487
44.784802,125,200.103785
30.612283,1,200.475578
69.803258,119,219.667124
-11.054877,300,272.759564
72.17024,24,278.443619
44.572289,36,284.940877
57.113498,113,307.04137
71.966981,28,312.591188
38.815598,26,317.61026
37.069583,38,325.496653
75.804379,31,331.480862
54.631607,37,338.406603
46.346325,5,339.681014
49.80503,17,342.90957
42.781792,21,347.32882
77.017133,24,351.603164
66.549579,46,361.980571
70.17027,54,374.130421
72.236296,14,377.468617
53.604395,36,385.910547
82.629915,23,391.259105
83.594313,81,410.001542
70.685786,18,413.626034
41.039447,14,416.763638
29.646897,1,417.124793
58.073911,43,426.15517
55.06201,19,431.225862
57.797997,71,446.261974
46.041053,11,449.344789
69.924115,22,454.308219
66.290305,14,457.604228
60.691827,22,462.125054
50.766629,9,464.863482
70.268023,13,468.654277
81.198058,19,473.332233
64.181952,22,478.206699
48.022451,28,484.045145
51.612862,12,486.983119
49.895636,8,488.632532
74.129714,13,492.003872
75.933596,18,496.257237
55.642381,8,498.93389
57.605096,10,501.611737
70.42695,16,505.443985
69.039964,15,509.043023
62.791111,24,515.303719
41.274786,4,516.402445
64.50214,14,519.831201
66.330289,19,523.430266
77.671333,22,529.464783
63.218269,23,534.684632
56.340732,18,539.433875
59.256573,10,541.92619
61.219002,14,545.381118
49.883777,18,549.70477
59.017753,15,553.656724
54.768517,30,561.268264
47.435649,11,563.898707
48.030779,21,569.299931
68.511027,17,573.658676
70.820745,14,577.081661
44.005268,12,580.34558
66.212728,21,585.602188
63.079349,13,589.573523
61.368926,16,594.20665
70.518496,16,598.152136
36.87658,11,601.153085
55.039107,11,603.946088
50.224839,7,605.993573
59.781177,14,609.886656
69.811718,14,613.855882
67.640578,15,618.233481
53.065116,11,620.835624
45.819442,9,622.740144
66.330499,15,626.86486
60.140988,11,629.76161
75.884847,12,633.056146
63.922824,18,637.977395
58.673989,10,640.579309
31.148016,8,643.111447
76.411682,17,648.558526
65.705757,11,652.132756
52.283894,17,655.897987
48.79687,7,657.917501
68.601352,14,661.758029
44.31387,12,665.619338
65.538093,15,670.216431
42.900083,5,671.760807
65.036111,17,676.19905
61.313969,32,683.819503
43.436262,8,685.808472
65.911066,19,691.544165
50.686904,6,693.358694
38.648544,5,694.674015
73.079829,26,701.654513
56.818198,9,704.366075
55.217594,13,708.728428
65.115656,16,713.060984
55.646011,14,717.006465
70.100879,15,721.294184
65.223943,14,724.680134
54.585741,8,726.950844
66.025969,11,729.907785
79.253477,16,733.849582
29.694799,1,734.193328
45.46329,7,736.59362
72.463215,17,742.140872
38.832278,3,742.986776
71.044653,17,747.200593
56.23787,9,750.064112
73.310692,23,756.022294
31.651191,1,756.355367
60.081417,10,758.962905
82.437103,19,764.87523
66.328356,13,767.871735
69.055319,17,772.525124
70.286396,15,775.968504
65.571769,14,779.683712
40.028692,7,781.529281
70.521584,19,786.648556
32.777663,10,789.545658
49.075546,16,794.414567
58.437013,11,798.139994
69.800651,13,801.891712
51.837655,17,805.619404
68.016784,13,809.705807
68.842797,16,814.480634
62.12061,20,819.979699
76.708129,20,825.3851
36.915719,2,826.20647
70.532043,9,829.057377
52.078762,5,830.8097
55.586944,18,835.159775
51.345428,9,837.23783
70.377955,11,840.893999
66.539775,19,845.570704
56.12046,14,849.266089
54.35435,7,851.552415
34.377122,8,853.209512
77.642865,24,860.080046
63.487422,45,873.629203
73.619261,19,879.055942
49.449981,12,882.002732
70.625043,21,889.175822
76.831824,13,892.469643
63.42671,14,895.972829
66.462073,14,899.923118
56.554015,16,904.617653
42.835701,6,906.571568
58.55964,10,909.743957
80.858163,19,915.006412
41.971464,8,917.477908
65.339718,19,922.643707
71.646269,13,926.142828
59.832443,12,929.758467
68.562917,12,933.236431
84.124315,24,939.871545
57.136325,9,942.196677
61.739836,14,946.529855
55.716511,17,951.245207
58.491009,16,955.2448
61.259709,13,958.223212
42.133637,3,959.259131
49.544251,11,962.472769
75.708217,16,967.525588
53.648751,7,969.41584
38.975122,5,970.42788
40.885883,5,972.645758
64.636526,13,976.510202
44.77309,7,978.545119
60.203355,14,982.726331
76.31394,19,988.716975
70.14138,17,993.283759
67.835392,21,999.526643
49.059655,6,1001.473364
43.286224,5,1002.975463
41.635069,19,1009.006529
64.217438,23,1015.814998
53.576842,13,1019.272897
61.959103,15,1023.470699
55.23351,9,1026.451504
85.515564,20,1031.608774
54.214558,18,1037.049229
64.103402,15,1041.420322
59.052444,12,1044.749583
62.694679,17,1048.879888
48.859112,10,1051.817443
45.684553,8,1054.358849
48.765213,13,1057.945128
75.351114,15,1062.547319
59.872521,21,1068.474611
67.195451,25,1075.118033
55.270545,10,1077.587615
58.195216,13,1080.713392
40.249829,7,1082.802062
49.937033,13,1086.181577
38.973138,4,1087.26553
52.502771,12,1090.656047
63.891518,13,1094.3381
