#{"t_start": 1779858369.4242978, "env_id": "None"}
r,l,t
-263.893544,300,36.000081
-205.629689,300,74.75193
-11.658178,143,97.600844
-140.601924,300,144.479096
-56.452717,300,193.470492
66.042746,48,201.431837
-11.88134,300,252.499941
58.701133,19,255.527827
37.855269,271,308.016681
46.357498,34,314.30069
63.413888,41,322.635572
73.144639,30,328.487334
43.215809,22,333.258685
65.828517,25,337.797625
74.349073,23,342.459305
54.860241,55,353.197058
42.112703,49,364.457283
77.505919,28,370.209246
66.699103,21,375.435572
44.246472,23,380.991603
33.079323,10,383.209583
50.403539,11,385.942393
36.643847,44,395.826853
52.24012,43,405.748724
44.859778,8,407.617787
55.171891,13,410.654291
76.895429,23,415.412756
70.052562,20,419.860685
70.007111,18,423.672813
45.896923,11,426.436712
51.217414,9,428.898618
52.499031,39,436.761527
61.281455,26,442.266555
37.122905,15,446.293804
38.805607,7,447.899912
73.341331,22,452.969237
62.767746,29,459.106654
75.488874,24,466.430302
58.932346,29,473.187133
52.235109,21,477.870514
65.612623,14,480.44569
57.320781,53,493.288148
52.228427,18,498.38699
68.117018,13,501.936036
76.788827,33,509.69576
78.836293,37,519.174069
78.794101,23,523.998308
58.582127,14,527.380433
30.633034,1,527.79324
82.815081,25,533.702014
65.08524,14,537.294653
70.933602,19,542.561646
55.003618,58,556.775409
33.069016,2,557.361184
54.785325,24,563.326852
69.811813,26,569.714669
53.836168,21,575.068966
70.469777,15,578.926625
43.15707,16,583.202603
55.58967,10,585.806837
59.875422,8,588.229197
69.243891,13,591.955399
66.371467,32,600.548728
52.183065,16,604.599023
55.259829,10,607.203651
41.787026,6,609.278537
35.101933,2,610.011446
64.829806,12,613.192832
57.909868,7,615.318583
51.731837,8,617.635898
32.878237,9,619.403389
62.062661,21,624.308403
72.449226,14,628.374563
62.410676,10,631.008029
66.455761,13,634.868398
83.279206,21,640.465564
59.324735,11,644.331342
42.598792,7,646.101669
51.891777,7,648.574403
60.07963,26,655.301879
33.533549,9,657.940392
71.5074,15,662.314176
62.21893,9,664.992548
29.786137,1,665.384089
55.922998,12,668.820687
47.416475,8,671.617745
66.40381,15,675.214849
62.654112,15,678.986163
71.770976,18,683.191329
63.503668,16,687.776991
55.385967,15,691.928859
49.93223,10,694.755494
31.123623,1,695.197863
61.161108,12,698.335615
68.221392,13,701.525153
66.633004,36,712.696346
46.103778,7,714.567351
56.3023,10,717.625414
69.926319,17,722.008739
57.396485,14,725.519257
82.880162,19,730.709944
44.516953,10,733.201472
42.984322,18,739.245784
63.112185,12,742.943295
59.452129,14,746.21884
50.504031,9,749.078803
69.731582,16,753.023401
48.034864,10,755.895666
76.283284,19,761.072781
40.732297,6,762.848132
43.003139,5,764.647303
80.638073,19,769.588597
76.161869,22,774.537377
55.972044,8,777.00684
72.891826,48,789.805188
39.125499,6,791.888657
53.493926,15,796.782286
54.085569,8,799.263358
71.189195,35,808.239581
56.767171,12,811.566478
66.216454,19,817.138913
79.760294,19,822.871623
74.729764,21,829.061372
63.77023,17,833.446739
69.173125,14,837.02979
54.725658,9,839.915195
78.458892,20,844.959943
54.472291,13,848.279988
47.432606,5,849.736843
74.764728,26,856.392923
46.570158,7,858.637291
78.358384,20,864.964328
70.608864,11,868.71589
53.500144,12,871.851867
83.490677,21,877.648756
76.329892,19,882.89819
68.984652,11,886.801615
78.22835,20,892.40965
68.637354,19,897.083648
66.89457,10,899.934865
73.097035,14,904.491136
63.749373,9,907.106851
74.607368,13,910.821228
67.31506,13,914.882661
60.158537,20,920.179214
73.251755,18,925.15334
53.08967,8,927.519959
51.911574,6,929.609341
50.052303,8,931.394364
44.076568,10,934.398802
66.701396,17,939.260025
65.517228,13,942.88187
39.853555,5,943.886608
74.495687,20,949.78356
55.920106,15,953.368008
70.4934,16,957.680287
70.36954,18,962.625942
60.352171,15,967.361296
67.361317,11,970.764146
58.803699,16,975.926855
85.742688,26,983.508028
65.430282,10,986.555106
53.776652,11,989.637751
67.397121,13,993.693243
59.656097,14,997.616363
70.331106,13,1001.604295
50.222153,7,1004.295645
48.535923,10,1006.823297
30.377413,1,1007.1849
64.013387,16,1011.89765
47.495722,7,1014.008449
72.559612,15,1018.292427
60.752453,10,1021.205942
72.561112,19,1026.483206
52.557039,10,1029.073873
66.467402,12,1032.766656
77.657723,18,1037.605924
60.708251,8,1040.430625
51.087549,7,1042.226566
33.18008,12,1045.15924
55.707854,11,1048.225173
44.599827,11,1051.338019
36.442311,5,1052.939569
51.347067,8,1055.71016
36.205027,8,1057.796243
74.077314,22,1064.034857
60.761383,16,1068.616339
41.247036,7,1070.66539
71.587371,23,1076.155673
66.111543,17,1080.441178
56.977744,12,1083.907346
71.521715,15,1087.985463
46.637362,10,1090.965611
52.594473,11,1093.926804
