#{"t_start": 1779858367.5126905, "env_id": "None"}
r,l,t
-269.404436,300,37.9057
27.797035,118,52.007357
-56.619525,300,95.297383
-33.120548,144,117.771698
-135.120308,300,165.514645
37.559887,127,186.708362
25.075218,211,220.986183
17.761585,300,274.048391
54.442516,139,300.893092
50.351038,43,310.287543
65.753603,16,313.019205
77.969031,29,318.913307
35.574583,6,320.361766
69.332851,22,324.229815
51.303665,178,360.312526
39.370668,13,363.332855
50.255866,12,365.618946
64.357826,21,370.584983
60.862687,54,383.287087
72.393092,30,390.079725
44.125994,32,397.010141
55.685034,10,399.852326
57.124225,21,404.487432
55.672151,23,409.952492
59.086483,39,418.59153
63.836201,31,424.918237
66.754185,20,429.846062
36.573301,6,431.45473
71.839435,23,436.25585
84.022569,42,444.837878
61.1123,17,449.169203
31.538776,1,449.46865
68.004673,13,452.323568
46.018801,24,458.164375
36.038746,24,463.426578
56.338773,10,466.627463
38.775521,6,468.694159
83.347505,79,485.960201
78.493801,25,491.756939
65.516507,26,498.890524
35.266345,3,499.861395
68.191774,16,504.38724
60.118895,14,507.645101
71.434515,31,515.449348
54.038737,16,518.693854
43.551127,4,519.933041
54.955197,13,522.813584
70.798096,17,527.032458
64.522735,21,532.321825
63.030118,16,536.07807
80.503775,26,542.502553
52.766396,15,546.294932
78.453596,19,550.976877
74.087139,17,555.635034
33.532184,11,557.881297
58.424656,16,562.183059
58.504104,20,567.410034
78.092749,23,572.811245
65.454281,23,579.251688
60.860444,10,581.672017
51.936626,13,584.702359
51.195461,12,588.134043
63.460707,12,591.649882
41.921619,10,594.405326
52.232314,27,601.51987
64.154443,12,604.537445
78.673297,17,609.115035
69.495373,12,612.998412
42.726168,9,615.477917
61.491804,10,618.246735
75.430423,14,621.766598
61.887687,14,624.854089
73.899841,21,630.695837
53.713635,14,634.797876
39.730397,8,636.773419
58.556029,13,640.109288
69.26844,11,643.4826
53.659809,8,646.241563
31.419007,1,646.646293
59.266854,10,649.495981
65.576513,18,654.365093
73.280756,17,658.842628
58.892254,13,662.342694
36.448666,4,663.864219
40.553871,7,665.999564
63.034592,18,671.555136
78.240862,16,675.890902
63.00485,17,679.665144
58.43072,11,682.693088
71.226457,25,689.268227
35.129583,5,690.763188
65.516572,13,694.678125
53.580043,15,698.583159
68.523663,15,702.58646
78.321713,20,708.673521
62.193903,15,713.018064
64.79016,12,716.488877
64.297689,10,719.544811
31.376325,1,719.9598
62.406436,11,722.728441
86.409446,21,728.294281
50.687576,11,731.231514
67.866257,17,735.497446
76.242636,14,740.202727
52.331826,5,741.941746
37.829168,3,742.663634
50.745968,5,744.272517
72.028071,17,748.621556
36.412344,14,752.174181
53.096032,8,754.372799
50.149568,8,756.510794
44.660085,9,758.759979
38.004429,5,760.591824
64.651137,11,763.703883
74.487584,19,768.797649
69.406745,25,775.308029
63.072939,30,783.357982
73.975289,17,787.585794
49.820324,9,789.989788
53.095346,7,792.419645
69.478765,12,796.077315
65.565971,20,801.983145
41.261938,20,806.957359
60.745422,17,812.172396
71.595389,18,817.147142
54.787,12,820.52894
60.531486,11,823.653588
63.504916,10,826.316327
60.948901,12,830.403326
67.352383,23,836.47813
60.246202,15,840.501889
52.66789,14,844.135344
65.388117,10,846.873496
59.69585,19,852.088438
66.761308,16,855.893516
67.146226,15,860.235671
69.955851,10,863.615793
70.498157,23,870.981185
58.048608,23,876.80618
60.464524,23,883.379359
69.886053,16,888.71003
59.152783,12,892.004365
72.852299,22,897.629775
30.885982,1,898.016369
43.638678,17,902.777377
51.020051,7,904.805965
67.018385,12,908.582958
69.397518,19,914.174705
53.541319,17,919.319268
46.577909,7,921.032231
61.647072,17,925.69211
52.817161,18,931.101496
54.281195,9,933.311157
42.597398,3,934.57654
59.334735,16,938.791978
79.747938,19,944.013912
48.641108,9,946.642678
70.615023,18,951.696432
54.226277,15,955.2725
66.015744,14,958.790682
62.859614,12,962.724283
42.727821,10,965.375202
70.829486,16,970.355608
51.630127,9,973.086182
48.220712,4,974.717169
70.475549,20,980.34414
56.129863,7,982.556153
43.119331,9,985.062541
44.310435,10,988.051445
52.8548,6,990.148853
50.714329,18,995.22964
50.14414,9,997.603884
45.158424,8,1000.009081
55.583383,14,1004.772355
61.543479,9,1007.769464
48.113309,7,1009.532022
42.126502,7,1011.55678
67.068327,16,1016.320832
58.723156,14,1020.212379
55.002793,10,1023.12985
33.448491,9,1025.479381
70.475284,19,1030.649095
48.942438,5,1032.124875
73.829533,14,1036.353154
52.616187,13,1039.841887
66.0737,13,1043.801773
65.556122,18,1048.32827
67.764056,19,1054.100134
41.449655,7,1056.263298
30.909473,4,1057.631928
76.540431,20,1062.924989
69.978465,15,1067.813877
47.364768,17,1072.172405
55.361261,9,1074.193023
70.746426,16,1078.510522
64.419743,16,1082.341678
38.974072,3,1083.365173
68.55826,19,1088.631966
70.469934,17,1093.748636
