#{"t_start": 1779858369.0412772, "env_id": "None"}
r,l,t
-260.552022,300,36.381407
-318.652462,300,75.147713
-245.637701,300,122.317108
39.544452,9,124.210518
58.072132,105,140.104008
-23.167941,300,189.061806
59.59589,225,226.183159
59.172352,119,246.136598
66.620255,69,258.700855
56.317689,93,276.911804
52.537495,38,283.907137
47.565012,16,287.502113
73.357255,33,293.308549
78.252689,40,301.16993
50.998039,75,316.112282
39.351262,5,317.385693
53.690693,56,328.21881
54.184044,21,332.437056
66.808052,53,343.232284
68.52696,50,352.480103
47.699508,24,357.976702
46.589683,26,363.754443
45.448584,36,371.72305
54.509065,14,375.316541
48.005763,7,377.252216
50.95037,9,379.263916
63.350868,75,396.569908
59.820765,11,399.377599
59.851854,124,426.815888
71.3376,18,431.484481
66.463552,17,434.725509
61.991677,21,438.863927
52.661093,26,444.554208
64.171976,38,454.11853
57.659079,32,460.852845
58.255983,15,465.476412
29.290239,10,468.056231
64.212818,16,472.016768
79.313187,23,477.066666
76.122051,20,481.212458
35.112214,29,487.660393
65.343188,30,494.946984
57.983455,9,497.956827
44.598439,11,501.004809
34.819195,3,501.88537
65.288589,15,505.385907
71.205396,18,509.668266
46.530097,11,512.840921
74.362024,22,517.920521
59.744093,16,521.642982
42.200499,16,525.516181
67.614551,29,532.600292
67.133769,32,540.183
60.661194,20,545.749652
61.99548,27,552.090727
68.04826,16,555.98998
34.438295,11,559.102702
33.000642,4,560.119478
58.954031,16,564.523228
66.828568,30,571.654337
29.349455,1,572.04425
51.449203,30,579.735466
61.859584,16,584.037925
42.717832,6,585.389179
50.5733,5,587.077679
39.988263,4,588.095475
66.867817,23,594.627903
64.115327,15,598.223723
62.026826,26,605.398488
30.154812,1,605.844456
77.402076,26,612.839106
61.483843,13,616.72128
62.277861,13,619.788894
74.032619,24,625.861024
59.862227,12,629.171939
66.069084,12,632.453426
56.061976,13,635.913992
40.620561,5,637.375908
68.03131,14,641.225527
74.949454,18,646.842511
68.586316,28,654.599212
69.036318,16,659.475526
63.818718,21,665.369947
75.190775,15,670.036666
76.794949,22,676.002796
69.681235,24,681.801368
69.261923,17,686.018936
68.863764,17,690.946207
56.710003,7,693.154754
52.897395,15,697.052387
78.782618,22,703.008546
70.970295,13,707.150657
79.228442,15,711.490051
67.952345,11,714.629938
69.152518,20,720.332041
84.761235,22,725.906397
49.519625,8,728.183766
69.094457,12,731.499735
60.159706,11,734.312007
59.176579,12,738.341895
80.440398,24,745.479816
85.720847,28,752.396048
82.606859,22,758.714511
51.962418,8,760.772412
52.415479,25,767.846376
41.963976,7,769.954726
67.561185,23,775.370825
44.010731,10,778.068708
56.487082,12,781.339787
66.051756,19,786.491656
35.470635,9,788.948572
36.7403,12,792.714363
32.462373,5,794.164834
64.078739,11,798.02532
69.647189,19,802.858448
63.75708,26,809.828681
74.310824,19,815.219809
36.638147,5,816.480615
35.798958,4,817.946475
66.500509,16,822.702264
58.97997,15,826.631143
29.458307,1,827.010559
78.26562,21,832.907609
83.094567,20,838.077467
60.074919,15,842.161976
66.540324,17,846.551611
63.350835,10,849.355859
64.191112,15,853.278363
51.910835,6,855.154429
60.841082,14,859.019216
39.795702,14,863.76526
54.323949,9,866.745413
56.86185,11,870.242905
63.290393,20,874.882266
62.772207,9,877.649031
54.227811,14,881.406267
53.489229,9,884.320217
48.473397,7,886.820691
72.344377,13,890.47446
64.211128,9,893.168216
42.129544,10,895.377764
69.666036,18,900.323029
53.905446,12,904.020509
64.854802,10,907.058257
64.30982,11,910.590477
59.818816,14,914.399023
62.017553,10,917.440429
40.382625,6,918.80889
51.361175,10,921.623893
53.896209,10,924.556132
49.259602,5,925.943063
81.828821,22,932.264534
57.935969,10,935.169106
65.606796,16,939.633201
47.781394,10,942.139372
84.093899,20,948.224108
45.152074,23,953.745226
66.813382,16,958.05967
81.599516,18,963.018662
59.914096,7,965.547869
52.009821,10,968.329706
60.333658,8,970.695091
64.606777,17,976.314862
63.969005,15,980.646129
60.595018,13,984.477131
80.922251,20,990.339441
42.233799,4,991.428864
44.856486,9,994.491972
56.195085,19,999.869878
63.386517,10,1003.25385
82.917086,33,1013.063403
61.405101,8,1015.648355
72.269787,17,1020.129164
30.673764,4,1021.187627
69.845303,11,1024.322202
70.902781,27,1031.633721
65.636048,11,1035.231728
55.496048,13,1038.696912
63.086883,11,1041.904421
33.123737,7,1044.156963
51.933942,13,1047.20132
72.584812,17,1052.102501
63.706916,12,1056.095329
46.464219,12,1059.271267
77.869729,20,1065.033514
61.423731,9,1067.458501
52.15049,11,1070.651851
61.507363,12,1073.582369
58.122373,13,1076.994577
76.751658,16,1080.817796
55.16195,8,1083.242747
75.294311,21,1088.930547
53.388145,8,1091.348396
